"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 7/18/16, 6:52:07 PM"


38
X,Y
0.995820,0.0358372,
1.68104,-0.0251038,
1.79447,5.99076,
1.82772,14.9949,
1.92494,9.55771,
2.03793,15.1412,
2.07433,11.8282,
2.16416,10.0644,
2.40109,12.9478,
2.45976,16.4057,
2.55977,23.5015,
2.65260,30.7412,
2.68531,31.8219,
2.88764,26.8174,
3.02517,25.2337,
3.11740,22.7494,
3.26891,17.9244,
3.46991,14.3241,
3.58930,13.2084,
4.00190,13.5348,
4.27775,14.7968,
4.42279,15.3737,
4.73068,14.4027,
5.06240,11.7751,
5.98985,9.40168,
6.46445,6.41406,
7.36488,4.47202,
8.67720,2.31460,
9.16148,2.81996,
9.39299,3.43274,
9.58990,4.11746,
10.1672,4.76697,
11.1491,4.62486,
11.9751,3.68999,
13.1361,2.35940,
18.3720,1.06997,
23.9249,0.355267,
28.4078,0.322890,
