"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 7/18/16, 7:04:23 PM"


26
X,Y
401.666,2.39202,
423.500,3.24672,
437.366,3.91582,
444.810,4.31885,
459.215,4.47253,
474.913,4.47325,
486.493,4.48989,
499.611,4.65963,
508.871,4.74059,
539.259,4.31514,
554.453,4.10644,
566.554,3.99425,
580.202,3.80159,
593.066,3.89077,
602.581,4.03617,
611.828,4.40707,
621.350,4.42362,
640.660,4.23927,
648.630,4.39266,
654.795,4.65066,
658.904,4.82803,
667.914,4.78012,
674.101,4.54685,
690.335,4.10464,
711.456,3.72709,
747.766,3.22138,
