"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 7/18/16, 6:45:21 PM"


55
X,Y
1.01263,18.0162,
1.06811,18.1515,
1.13372,18.8819,
1.23783,19.9098,
1.34304,21.8305,
1.39021,23.8864,
1.43002,26.1046,
1.44355,28.0252,
1.49424,29.9459,
1.52264,27.5113,
1.53222,25.9152,
1.55157,23.4265,
1.55645,21.8034,
1.60103,21.8305,
1.65206,22.7773,
1.68874,23.6700,
1.74805,23.9405,
1.78127,22.6691,
1.80376,21.5870,
1.83228,20.6402,
1.93875,21.3436,
2.04497,21.9387,
2.14351,22.1821,
2.23977,20.7755,
2.34770,18.3408,
2.53927,13.9315,
2.78116,8.62940,
2.95200,4.67989,
2.97992,2.54283,
3.17291,0.811542,
3.33627,1.08206,
3.51905,1.94770,
3.60850,2.46168,
3.79428,2.05591,
3.95225,1.32552,
4.09104,-0.378720,
4.50895,-1.70424,
4.96956,-1.94770,
5.58132,-2.81335,
6.36749,-2.29937,
7.15133,-1.75834,
7.63840,-0.946799,
7.93148,-0.270514,
8.36603,0.838593,
8.76919,1.19026,
9.42541,0.946799,
9.91067,0.622182,
10.7869,-0.459874,
11.4854,-0.865645,
12.5401,-0.811542,
13.3942,-0.595131,
15.9671,-0.405771,
17.9327,-0.270514,
23.4138,0.270514,
28.2638,0.432822,
